sightability_score,sightability_tier,scientific_name,common_name_en,common_name_es,category,phylum,class,order,family,has_photo,inat_observations,observation_count,wikipedia_url
70,common,Paraxanthus barbiger,,Jaiba musculosa,crustaceans,Arthropoda,Malacostraca,Decapoda,Xanthidae,yes,125,1,http://en.wikipedia.org/wiki/Paraxanthus
70,common,Campylonotus vagans,Painted Shrimp,Camarón pintado,crustaceans,Arthropoda,Malacostraca,Decapoda,Campylonotidae,yes,124,1,
70,common,Halicarcinus planatus,Flattened Crab,Cangrejito aplanado,crustaceans,Arthropoda,Malacostraca,Decapoda,Hymenosomatidae,yes,107,1,
70,common,Ceramaster patagonicus,Cookie Star,,echinoderms,Echinodermata,Asteroidea,Valvatida,Goniasteridae,yes,94,3,http://en.wikipedia.org/wiki/Ceramaster_patagonicus
70,common,Platymera gaudichaudii,armed box crab,Calappidae,crustaceans,Arthropoda,Malacostraca,Decapoda,Calappidae,yes,73,5,
70,common,Pinguipes chilensis,Chilean Sandperch,Rollizo,fish_and_vertebrates,Chordata,Teleostei,Perciformes,Pinguipedidae,yes,60,5,https://en.wikipedia.org/wiki/Pinguipes_chilensis
70,common,Poraniopsis echinaster,Reticulated Spiny Star,Estrella reticulada espinosa,echinoderms,Echinodermata,Asteroidea,Valvatida,Poraniidae,yes,48,7,
65,common,Phalacrocorax brasilianus,Neotropic Cormorant,Corúa Neotropical,fish_and_vertebrates,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,yes,62433,4,https://en.wikipedia.org/wiki/Neotropic_cormorant
65,common,Larus dominicanus,Dominican gull,Gaviota Meridional,fish_and_vertebrates,Chordata,Aves,Charadriiformes,Laridae,yes,34448,4,http://en.wikipedia.org/wiki/Kelp_gull
65,common,Mytilus edulis,Blue Mussel Complex,mejillón,mollusks,Mollusca,Bivalvia,Mytilida,Mytilidae,yes,30173,1,https://en.wikipedia.org/wiki/Blue_mussel
65,common,Crepidula fornicata,Common Atlantic Slippersnail,,mollusks,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,yes,13991,1,http://en.wikipedia.org/wiki/Common_slipper_shell
65,common,Larus pipixcan,Franklin's Gull,Gaviota de Franklin,fish_and_vertebrates,Chordata,Aves,Charadriiformes,Laridae,yes,13601,1,http://en.wikipedia.org/wiki/Franklin's_gull
65,common,Spheniscus magellanicus,Magellanic Penguin,Pingüino de Magallanes,fish_and_vertebrates,Chordata,Aves,Sphenisciformes,Spheniscidae,yes,8272,3,https://en.wikipedia.org/wiki/Magellanic_penguin
65,common,Mugil cephalus,Sea Mullet,Lisa rayada,fish_and_vertebrates,Chordata,Teleostei,Mugiliformes,Mugilidae,yes,8167,2,http://en.wikipedia.org/wiki/Flathead_grey_mullet
65,common,Puffinus griseus,Sooty Shearwater,Pardela gris,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Procellariidae,yes,6255,3,http://en.wikipedia.org/wiki/Sooty_shearwater
65,common,Thalassarche melanophris,Black-browed Albatross,Albatros ceja negra,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Diomedeidae,yes,4830,3,http://en.wikipedia.org/wiki/Black-browed_albatross
65,common,Macronectes giganteus,Southern Giant Petrel,Petrel gigante,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Procellariidae,yes,4111,1,https://en.wikipedia.org/wiki/Southern_giant_petrel
65,common,Pelecanus thagus,Peruvian Pelican,Pelícano peruano,fish_and_vertebrates,Chordata,Aves,Pelecaniformes,Pelecanidae,yes,3983,1,https://en.wikipedia.org/wiki/Peruvian_pelican
65,common,Physeter macrocephalus,chocolate whale,ballena esperma,fish_and_vertebrates,Chordata,Mammalia,Cetartiodactyla,Physeteridae,yes,3568,4,http://en.wikipedia.org/wiki/Sperm_whale
65,common,Oceanites oceanicus,Wilson's Storm-Petrel,Paíño de Wilson,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Hydrobatidae,yes,3418,1,https://en.wikipedia.org/wiki/Wilson's_storm_petrel
65,common,Grampus griseus,Risso's Dolphin,Delfín de Risso,fish_and_vertebrates,Chordata,Mammalia,Cetartiodactyla,Delphinidae,yes,2953,2,http://en.wikipedia.org/wiki/Risso's_dolphin
65,common,Diomedea exulans,Wandering albatross species complex,Albatros viajero,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Diomedeidae,yes,2694,1,https://en.wikipedia.org/wiki/Snowy_albatross
65,common,Daption capense,Pintado Petrel,Petrel damero,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Procellariidae,yes,2476,2,https://en.wikipedia.org/wiki/Cape_petrel
65,common,Eubalaena australis,Southern Right Whale,Ballena Franca Austral,fish_and_vertebrates,Chordata,Mammalia,Cetartiodactyla,Balaenidae,yes,2309,1,http://en.wikipedia.org/wiki/Southern_right_whale
65,common,Procellaria aequinoctialis,White-chinned Petrel,Petrel barba blanca,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Procellariidae,yes,2203,2,http://en.wikipedia.org/wiki/White-chinned_petrel
65,common,Acmaea mitra,Whitecap Limpet,Lapa Blanca,mollusks,Mollusca,Gastropoda,,Acmaeidae,yes,2059,2,http://en.wikipedia.org/wiki/Acmaea_mitra
65,common,Phalacrocorax bougainvillii,Guanay Cormorant,Guanay,fish_and_vertebrates,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,yes,1642,1,https://en.wikipedia.org/wiki/Guanay_cormorant
65,common,Phalacrocorax gaimardi,Red-legged Cormorant,Lile,fish_and_vertebrates,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,yes,1611,1,https://en.wikipedia.org/wiki/Red-legged_cormorant
65,common,Durvillaea antarctica,New Zealand Bull Kelp,Cochayuyo,algae,Ochrophyta,Phaeophyceae,Fucales,Durvillaeaceae,yes,1561,1,http://en.wikipedia.org/wiki/Durvillaea_antarctica
65,common,Scytosiphon lomentaria,Beanweed,,algae,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,yes,1397,3,http://en.wikipedia.org/wiki/Scytosiphon_lomentaria
65,common,Galaxias maculatus,Common Galaxias,Puyen chico,fish_and_vertebrates,Chordata,Teleostei,Galaxiiformes,Galaxiidae,yes,1320,2,http://en.wikipedia.org/wiki/Common_galaxias
65,common,Stercorarius chilensis,Chilean Skua,Salteador chileno,fish_and_vertebrates,Chordata,Aves,Charadriiformes,Stercorariidae,yes,1241,3,https://en.wikipedia.org/wiki/Chilean_skua
65,common,Fulmarus glacialoides,Southern Fulmar,Petrel plateado,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Procellariidae,yes,1170,3,https://en.wikipedia.org/wiki/Southern_fulmar
65,common,Australostichopus mollis,Australasian Brown Sea Cucumber,,echinoderms,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,yes,1107,2,http://en.wikipedia.org/wiki/Australostichopus
65,common,Aulacomya atra,Cholga mussel,Cholga,mollusks,Mollusca,Bivalvia,Mytilida,Mytilidae,yes,771,1,http://en.wikipedia.org/wiki/Aulacomya_atra
65,common,Chiton stokesii,Stokes's Chiton,,mollusks,Mollusca,Polyplacophora,Chitonida,Chitonidae,yes,687,1,
65,common,Merluccius merluccius,Hakes,Alambolo,fish_and_vertebrates,Chordata,Teleostei,Gadiformes,Merlucciidae,yes,625,1,http://en.wikipedia.org/wiki/Merluccius
65,common,Discurria insessa,Seaweed Limpet,Lapa Egregia,mollusks,Mollusca,Gastropoda,,Lottiidae,yes,616,1,http://en.wikipedia.org/wiki/Discurria_insessa
65,common,Anemonia alicemartinae,Red Sea Anemone,Anémona Roja,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,yes,595,4,https://en.wikipedia.org/wiki/Anemonia_alicemartinae
65,common,Thalassarche chlororhynchos,Indian Yellow-nosed Albatross,Albatros clororrinco atlántico,fish_and_vertebrates,Chordata,Aves,Procellariiformes,Diomedeidae,yes,596,2,http://en.wikipedia.org/wiki/Indian_yellow-nosed_albatross
65,common,Scomber japonicus,Pacific Chub Mackerel,macarela estornino,fish_and_vertebrates,Chordata,Teleostei,Scombriformes,Scombridae,yes,582,1,http://en.wikipedia.org/wiki/Chub_mackerel
65,common,Xiphias gladius,Broadbill Swordfish,pez espada,fish_and_vertebrates,Chordata,Teleostei,Carangiformes,Xiphiidae,yes,406,2,http://en.wikipedia.org/wiki/Swordfish
65,common,Cnesterodon decemmaculatus,Tenspotted Live-bearer,Madrecita,fish_and_vertebrates,Chordata,Teleostei,Cyprinodontiformes,Poeciliidae,yes,322,1,https://en.wikipedia.org/wiki/Cnesterodon_decemmaculatus
65,common,Pyura chilensis,red sea squirt,Piure,fish_and_vertebrates,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,yes,294,3,http://en.wikipedia.org/wiki/Pyura_chilensis
65,common,Bunodosoma grande,Fire Tentacle Anemone,,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,yes,293,2,
65,common,Diloma nigerrimum,Bluish Top Shell,,mollusks,Mollusca,Gastropoda,Trochida,Trochidae,yes,269,2,https://en.wikipedia.org/wiki/Diloma_nigerrimum
65,common,Spheciospongia vesparium,Loggerhead Sponge,,sponges,Porifera,Demospongiae,Clionaida,Clionaidae,yes,260,3,http://en.wikipedia.org/wiki/Spheciospongia_vesparium
65,common,Semimytilus patagonicus,Bisexual Mussel,,mollusks,Mollusca,Bivalvia,Mytilida,Mytilidae,yes,197,3,
65,common,Sarda chiliensis,Eastern Pacific Bonito,Bonito del Pacífico oriental,fish_and_vertebrates,Chordata,Teleostei,Scombriformes,Scombridae,yes,189,2,http://en.wikipedia.org/wiki/Sarda_chiliensis
65,common,Corynactis carnea,,Anémona joya,cnidarians,Cnidaria,Hexacorallia,Corallimorpharia,Corallimorphidae,yes,190,1,
65,common,Callorhinchus callorynchus,plownose chimaera,Pejegallo,fish_and_vertebrates,Chordata,Holocephali,Chimaeriformes,Callorhinchidae,yes,172,4,http://en.wikipedia.org/wiki/Callorhinchus_callorynchus
